GPU: Name,GPU: Process Size (nm),GPU: Architecture,GPU: Memory Type,GPU: Memory Frequency (MHz),GPU: Memory Size,GPU: Base Clock,GPU: Memory Bus,GPU: Release quarter,GPU: Power Consumption
hd graphics 515,14.0,Skylake GT2,shared,0.0,0.0,300.0,0.0,2015.5,15.0
hd graphics 620,14.0,Kaby Lake GT2,shared,0.0,0.0,300.0,0.0,2016.5,15.0
hd graphics 630,14.0,Kaby Lake GT2,shared,0.0,0.0,350.0,0.0,2016.5,15.0
iris plus graphics 655,14.0,Coffee Lake GT3e,shared,0.0,0.0,300.0,0.0,2018.25,15.0
iris plus graphics g4,10.0,Ice Lake GT1,shared,0.0,0.0,300.0,0.0,2019.25,15.0
iris plus graphics g7,10.0,Ice Lake GT2,shared,0.0,0.0,300.0,0.0,2020.25,15.0
iris xe graphics g4,10.0,Tiger Lake GT2,shared,0.0,0.0,300.0,0.0,2020.5,15.0
iris xe graphics g7 (80eu),10.0,Tiger Lake GT2,shared,0.0,0.0,300.0,0.0,2020.5,15.0
iris xe graphics g7 (80eu),10.0,Tiger Lake GT2,shared,0.0,0.0,300.0,0.0,2020.5,15.0
iris xe graphics g7 (96eu),10.0,Tiger Lake GT2,shared,0.0,0.0,300.0,0.0,2020.5,15.0
iris xe graphics g7 (96eu),10.0,Tiger Lake GT2,shared,0.0,0.0,300.0,0.0,2020.5,15.0
iris xe max,10.0,Iris Xe,DDR4,4627.0,4.0,,128.0,2020.75,25.0
uhd graphics,14.0,Comet Lake,shared,0.0,0.0,300.0,0.0,2017.5,45.0
"uhd graphics (alder lake, 64eu)",10.0,Raptor Lake GT1,shared,0.0,0.0,300.0,0.0,2022.0,45.0
uhd graphics (jasper lake 16 eu),10.0,Alder Lake GT1,shared,0.0,0.0,350.0,0.0,2021.0,15.0
uhd graphics (jasper lake 24 eu),10.0,Alder Lake GT1,shared,0.0,0.0,300.0,0.0,2022.0,15.0
uhd graphics (jasper lake 32 eu),10.0,Jasper Lake GT1,shared,0.0,0.0,350.0,0.0,2021.0,10.0
uhd graphics 600,14.0,Gemini Lake GT1,shared,0.0,0.0,200.0,0.0,2017.75,5.0
uhd graphics 605,14.0,Gemini Lake GT1.5,shared,0.0,0.0,200.0,0.0,2017.75,5.0
uhd graphics 620,14.0,Whiskey Lake GT2,shared,0.0,0.0,300.0,0.0,2018.5,15.0
uhd graphics 630,14.0,Coffee Lake GT2,shared,0.0,0.0,350.0,0.0,2018.25,15.0
uhd graphics 770,10.0,Raptor Lake GT1,shared,0.0,0.0,300.0,0.0,2023.0,45.0
uhd graphics g1,10.0,Ice Lake GT1,shared,0.0,0.0,300.0,0.0,2019.25,15.0
uhd graphics xe 750 (16eu),10.0,,shared,0.0,0.0,350.0,0.0,2021.0,45.0
uhd graphics xe 750 (32eu),14.0,Tiger Lake Xe,shared,0.0,0.0,350.0,0.0,2021.0,45.0
uhd graphics xe g4 (48eu),10.0,Ice Lake,shared,0.0,0.0,350.0,0.0,2020.5,45.0
"uhd graphics xe g4 (tiger lake, 48eu)",10.0,Tiger Lake,shared,0.0,0.0,300.0,0.0,2020.5,15.0
geforce gtx 1050 (3gb gddr5),14.0,GP107,DDR5,1752.0,3.0,1366.0,96.0,2019.0,75.0
geforce gtx 1050 max-q (34w),14.0,GP107,DDR5,1752.0,4.0,1000.0,128.0,2018.0,75.0
geforce gtx 1050 ti (4gb gddr5),14.0,GP107,DDR5,1752.0,4.0,1493.0,128.0,2017.0,75.0
geforce gtx 1050 ti max-q (4gb gddr5),14.0,GP107,DDR5,1752.0,4.0,1152.0,128.0,2018.0,75.0
geforce gtx 1060 (6gb gddr5),16.0,GP106,DDR5,2002.0,6.0,1405.0,192.0,2016.5,80.0
geforce gtx 1650 (laptop),12.0,TU117,DDR6,1500.0,4.0,1395.0,128.0,2019.25,50.0
"geforce gtx 1650 (laptop, 40w)",12.0,TU117,DDR6,8000.0,4.0,1170.0,128.0,2020.0,40.0
"geforce gtx 1650 (laptop, 50w)",12.0,TU117,DDR6,8000.0,4.0,1395.0,128.0,2019.25,50.0
geforce gtx 1650 max-q,12.0,TU117,DDR6,1250.0,4.0,1020.0,128.0,2019.25,30.0
geforce gtx 1650 ti (laptop),12.0,TU117,DDR6,1500.0,4.0,1350.0,128.0,2020.25,50.0
"geforce gtx 1650 ti (laptop, 50w, 128-bit)",12.0,TU117,DDR6,12000.0,4.0,1350.0,128.0,2020.25,50.0
geforce gtx 1650 ti max-q,12.0,TU117,DDR6,1250.0,4.0,1035.0,128.0,2020.25,50.0
geforce gtx 1650 ti max-q (50w),12.0,TU117,DDR6,1250.0,4.0,1200.0,128.0,2020.25,50.0
geforce gtx 1660 ti (laptop),12.0,TU116,DDR6,1500.0,6.0,1455.0,192.0,2019.25,80.0
geforce gtx 1660 ti max-q,12.0,TU116,DDR6,1500.0,6.0,1140.0,192.0,2019.25,60.0
geforce mx130 (2gb gddr5),28.0,GM108S,DDR5,1253.0,2.0,1109.0,64.0,2017.75,30.0
geforce mx150 (2gb gddr5),14.0,GP108,DDR5,1253.0,2.0,937.0,64.0,2017.25,10.0
geforce mx230 (2gb gddr5),14.0,GP108,DDR5,1502.0,2.0,1519.0,64.0,2019.0,10.0
geforce mx250 (10w),14.0,Pascal,DDR5,1502.0,2.0,937.0,64.0,2019.0,10.0
geforce mx250 (25w),14.0,Pascal,DDR5,1502.0,2.0,1519.0,64.0,2019.0,25.0
"geforce mx330 (2gb gddr5, 25w)",14.0,Pascal,DDR5,1752.0,2.0,1531.0,64.0,2020.0,25.0
"geforce mx330 (4gb gddr5, 25w)",14.0,Pascal,DDR5,1752.0,4.0,1531.0,64.0,2020.0,25.0
geforce mx350,14.0,Pascal,DDR5,1752.0,2.0,1354.0,64.0,2020.0,20.0
geforce mx350 (10w),14.0,Pascal,DDR5,1752.0,2.0,747.0,64.0,2020.0,10.0
geforce mx350 (25w),14.0,Pascal,DDR5,1752.0,2.0,1354.0,64.0,2020.0,25.0
geforce mx450,12.0,,DDR6,1250.0,2.0,1395.0,64.0,2020.5,28.0
"geforce mx450 (gddr5, 25w)",12.0,TU117,DDR5,3501.0,2.0,1395.0,64.0,2020.5,25.0
"geforce mx450 (gddr5, 25w)",12.0,TU117,DDR5,3501.0,2.0,1395.0,64.0,2020.5,25.0
"geforce mx450 (gddr6, 12w)",12.0,TU117S,DDR6,1250.0,2.0,720.0,64.0,2020.5,12.0
"geforce mx450 (gddr6, 25w / 28.5w)",12.0,TU117,DDR6,1250.0,2.0,1395.0,64.0,2020.5,28.0
geforce mx550,12.0,TU117SB,DDR6,1500.0,2.0,1065.0,64.0,2021.75,25.0
geforce mx550 (35w),12.0,TU117,DDR6,1500.0,2.0,1260.0,65.0,2021.75,35.0
geforce mx570,8.0,GA107S,DDR6,1500.0,2.0,832.0,64.0,2021.75,15.0
geforce mx570 (30w),8.0,GA107,DDR6,1500.0,2.0,832.0,64.0,2021.75,30.0
geforce mx570 a,8.0,GA107SB,DDR6,1500.0,2.0,832.0,64.0,2021.75,25.0
geforce rtx 2050 (30w),8.0,GA107,DDR6,1750.0,4.0,735.0,64.0,2021.75,30.0
