,link,name
146,/gpu-specs/uhd-graphics-710-mobile.c4128,UHD Graphics 710 Mobile
147,/gpu-specs/uhd-graphics-710-mobile.c4129,UHD Graphics 710 Mobile
148,/gpu-specs/uhd-graphics-770-mobile.c4127,UHD Graphics 770 Mobile
149,/gpu-specs/geforce-rtx-4050-max-q.c3987,GeForce RTX 4050 Max-Q
150,/gpu-specs/geforce-rtx-4050-mobile.c3953,GeForce RTX 4050 Mobile
151,/gpu-specs/geforce-rtx-4060-max-q.c3986,GeForce RTX 4060 Max-Q
152,/gpu-specs/geforce-rtx-4060-mobile.c3946,GeForce RTX 4060 Mobile
153,/gpu-specs/geforce-rtx-4070-max-q.c3954,GeForce RTX 4070 Max-Q
154,/gpu-specs/geforce-rtx-4070-mobile.c3944,GeForce RTX 4070 Mobile
155,/gpu-specs/geforce-rtx-4080-max-q.c3948,GeForce RTX 4080 Max-Q
156,/gpu-specs/geforce-rtx-4080-mobile.c3947,GeForce RTX 4080 Mobile
157,/gpu-specs/geforce-rtx-4090-max-q.c3988,GeForce RTX 4090 Max-Q
158,/gpu-specs/geforce-rtx-4090-mobile.c3949,GeForce RTX 4090 Mobile
159,/gpu-specs/jetson-agx-orin-32-gb.c4084,Jetson AGX Orin 32 GB
160,/gpu-specs/jetson-agx-orin-64-gb.c4085,Jetson AGX Orin 64 GB
161,/gpu-specs/jetson-orin-nx-16-gb.c4086,Jetson Orin NX 16 GB
162,/gpu-specs/jetson-orin-nx-8-gb.c4081,Jetson Orin NX 8 GB
163,/gpu-specs/jetson-orin-nano-4-gb.c4083,Jetson Orin Nano 4 GB
164,/gpu-specs/jetson-orin-nano-8-gb.c4082,Jetson Orin Nano 8 GB
